backend,model,batch_size,avg_ttft,avg_latency,tokps_new,throughput,latency,model_file,dtype,device,tokps_total,avg_kv_cache_mb,tokens_per_sec,gpu_mem_mb
TensorRT-LLM,Qwen/Qwen2.5-7B-Instruct,1,0.026641,10.672707,47.972839,47.972839,10.672707,trt_qwen2_5_7b,,,,,,
TensorRT-LLM,Qwen/Qwen2.5-7B-Instruct,2,0.027844,10.722816,95.497326,95.497326,10.722816,trt_qwen2_5_7b,,,,,,
TensorRT-LLM,Qwen/Qwen2.5-7B-Instruct,4,0.02957,10.712048,191.186754,191.186754,10.712048,trt_qwen2_5_7b,,,,,,
TensorRT-LLM,Qwen/Qwen2.5-7B-Instruct,8,0.033885,11.076648,369.787163,369.787163,11.076648,trt_qwen2_5_7b,,,,,,
TensorRT-LLM,Qwen/Qwen2.5-7B-Instruct,16,0.05377,11.343746,722.16014,722.16014,11.343746,trt_qwen2_5_7b,,,,,,
TensorRT-LLM,Qwen/Qwen2.5-7B-Instruct,1,0.027018,10.867528,47.11287,47.11287,10.867528,trt_qwen2_5_7b,,,,,,
TensorRT-LLM,Qwen/Qwen2.5-7B-Instruct,2,0.028639,10.796923,94.848059,94.848059,10.796923,trt_qwen2_5_7b,,,,,,
TensorRT-LLM,Qwen/Qwen2.5-7B-Instruct,4,0.029871,10.769514,190.174236,190.174236,10.769514,trt_qwen2_5_7b,,,,,,
TensorRT-LLM,Qwen/Qwen2.5-7B-Instruct,8,0.033873,11.171982,366.649587,366.649587,11.171982,trt_qwen2_5_7b,,,,,,
TensorRT-LLM,Qwen/Qwen2.5-7B-Instruct,16,0.053433,11.539258,709.924398,709.924398,11.539258,trt_qwen2_5_7b,,,,,,
HF,/workspace/hf_models/llama3_1_8b,1,0.02877,1.557998,41.078347,41.078347,1.557998,results_hf,torch.bfloat16,cuda,68.677861,13.25,,
HF,/workspace/hf_models/llama3_1_8b,2,0.030221,1.637575,78.164346,78.164346,1.637575,results_hf,torch.bfloat16,cuda,130.681016,26.5,,
HF,/workspace/hf_models/llama3_1_8b,4,0.032897,1.65878,154.330283,154.330283,1.65878,results_hf,torch.bfloat16,cuda,258.020942,53.0,,
HF,/workspace/hf_models/llama3_1_8b,8,0.039067,1.71345,298.812392,298.812392,1.71345,results_hf,torch.bfloat16,cuda,499.576968,106.0,,
HF,/workspace/hf_models/qwen2_5_7b,1,0.027351,1.454765,43.993374,43.993374,1.454765,results_hf,torch.bfloat16,cuda,72.864026,5.74,,
HF,/workspace/hf_models/qwen2_5_7b,2,0.031369,1.539058,83.167763,83.167763,1.539058,results_hf,torch.bfloat16,cuda,137.746608,11.48,,
HF,/workspace/hf_models/qwen2_5_7b,4,0.035687,1.562962,163.791518,163.791518,1.562962,results_hf,torch.bfloat16,cuda,271.279702,22.97,,
HF,/workspace/hf_models/qwen2_5_7b,8,0.036012,1.585426,322.941547,322.941547,1.585426,results_hf,torch.bfloat16,cuda,534.871938,45.94,,
HF,/workspace/hf_models/phi_3_mini,1,0.017757,0.993556,64.415071,64.415071,0.993556,results_hf,torch.bfloat16,cuda,110.713403,40.88,,
