backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,cuda,1,0.006626,0.663474,256.227126,192.923954,1.98
HF,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,cuda,2,0.006203,0.684517,496.700329,373.986130,3.96
HF,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,cuda,4,0.006180,0.682819,995.871528,749.832680,7.92
HF,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,cuda,8,0.006889,0.685041,1985.282399,1494.800865,15.84
HF,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,cuda,16,0.007892,0.682445,3985.667277,3000.973009,31.69
backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,1,0.007778,0.802008,211.968001,159.599436,4.62
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,2,0.007291,0.808871,420.339188,316.490683,9.24
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,4,0.008492,0.819151,830.127838,625.037431,18.48
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,8,0.011293,0.823702,1651.082793,1243.168221,36.97
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,16,0.015178,0.838108,3245.404715,2443.598844,73.94
