backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_cache_mb
HF,/workspace/hf_models/llama3_1_8b,torch.bfloat16,cuda,1,0.028770,1.557998,68.677861,41.078347,13.25
HF,/workspace/hf_models/llama3_1_8b,torch.bfloat16,cuda,2,0.030221,1.637575,130.681016,78.164346,26.50
HF,/workspace/hf_models/llama3_1_8b,torch.bfloat16,cuda,4,0.032897,1.658780,258.020942,154.330283,53.00
HF,/workspace/hf_models/llama3_1_8b,torch.bfloat16,cuda,8,0.039067,1.713450,499.576968,298.812392,106.00
HF,/workspace/hf_models/qwen2_5_7b,torch.bfloat16,cuda,1,0.027351,1.454765,72.864026,43.993374,5.74
HF,/workspace/hf_models/qwen2_5_7b,torch.bfloat16,cuda,2,0.031369,1.539058,137.746608,83.167763,11.48
HF,/workspace/hf_models/qwen2_5_7b,torch.bfloat16,cuda,4,0.035687,1.562962,271.279702,163.791518,22.97
HF,/workspace/hf_models/qwen2_5_7b,torch.bfloat16,cuda,8,0.036012,1.585426,534.871938,322.941547,45.94
HF,/workspace/hf_models/phi_3_mini,torch.bfloat16,cuda,1,0.017757,0.993556,110.713403,64.415071,40.88
HF,/workspace/hf_models/phi_3_mini,torch.bfloat16,cuda,2,0.019265,1.034724,212.617024,123.704450,81.75
HF,/workspace/hf_models/phi_3_mini,torch.bfloat16,cuda,4,0.021739,1.038494,423.690396,246.510776,163.50
HF,/workspace/hf_models/phi_3_mini,torch.bfloat16,cuda,8,0.025269,1.061256,829.205782,482.447001,327.00
HF,/workspace/hf_models/gemma_7b,torch.bfloat16,cuda,1,0.032190,1.765742,59.465100,36.245394,45.50
HF,/workspace/hf_models/gemma_7b,torch.bfloat16,cuda,2,0.033280,1.859907,112.908882,68.820652,91.00
HF,/workspace/hf_models/gemma_7b,torch.bfloat16,cuda,4,0.037597,1.887305,222.539548,135.643153,182.00
HF,/workspace/hf_models/gemma_7b,torch.bfloat16,cuda,8,0.046446,1.935743,433.942013,264.497989,364.00
HF,/workspace/hf_models/mistral_7b,torch.bfloat16,cuda,1,0.028379,1.507002,73.656191,42.468435,13.75
HF,/workspace/hf_models/mistral_7b,torch.bfloat16,cuda,2,0.029927,1.590570,139.572619,80.474303,27.50
HF,/workspace/hf_models/mistral_7b,torch.bfloat16,cuda,4,0.032815,1.614834,274.950798,158.530190,55.00
HF,/workspace/hf_models/mistral_7b,torch.bfloat16,cuda,8,0.039459,1.673935,530.486400,305.866032,110.00
